sysa1387,4.45,0.36,0.26,0.20,0.09,0.10
sys8f532,4.44,0.37,0.27,0.21,0.09,0.09
sysf9ead,4.40,0.35,0.26,0.20,0.10,0.10
sys9dd03,4.40,0.36,0.27,0.20,0.10,0.10
sysb25c6,4.26,0.35,0.28,0.22,0.10,0.10
sys38cf4,4.23,0.38,0.32,0.24,0.11,0.11
sys945b8,4.21,0.36,0.30,0.23,0.10,0.10
sys2a001,4.17,0.33,0.28,0.21,0.10,0.11
sysd81da,4.12,0.36,0.31,0.24,0.12,0.12
sysc84fa,4.10,0.33,0.29,0.22,0.11,0.11
sys10a86,4.08,0.37,0.32,0.24,0.12,0.12
sys64e2f,4.02,0.37,0.33,0.25,0.10,0.10
sys0ce8e,3.99,0.33,0.29,0.22,0.10,0.10
sys9d400,3.97,0.36,0.32,0.24,0.11,0.11
sys0fb10,3.96,0.34,0.31,0.23,0.11,0.11
sysf645e,3.93,0.34,0.31,0.24,0.12,0.12
sys16354,3.91,0.36,0.33,0.25,0.12,0.12
sys8094c,3.90,0.34,0.32,0.24,0.11,0.11
sysbdba5,3.87,0.34,0.32,0.24,0.12,0.12
sys92962,3.87,0.51,0.48,0.37,0.15,0.15
sys22c53,3.86,0.33,0.30,0.23,0.11,0.11
sysf2d64,3.82,0.34,0.32,0.25,0.12,0.12
sysdd2d4,3.82,0.35,0.33,0.25,0.12,0.12
sysdc2ac,3.81,0.34,0.32,0.24,0.12,0.12
sys9349e,3.81,0.34,0.32,0.25,0.10,0.10
sys3d8c6,3.78,0.34,0.32,0.25,0.11,0.11
sys48dd4,3.78,0.32,0.30,0.23,0.12,0.12
sysa22c0,3.77,0.37,0.35,0.27,0.13,0.13
sys44ea4,3.75,0.35,0.33,0.25,0.13,0.13
sysac5dd,3.75,0.38,0.36,0.27,0.13,0.13
sysa6294,3.74,0.35,0.33,0.25,0.12,0.12
sysfd5c5,3.73,0.34,0.32,0.25,0.10,0.10
sysccc28,3.72,0.36,0.34,0.26,0.13,0.13
syse298c,3.71,0.33,0.31,0.24,0.11,0.11
sys85ef8,3.70,0.35,0.33,0.26,0.13,0.13
sys4017d,3.69,0.50,0.48,0.37,0.18,0.18
sys798be,3.66,0.34,0.33,0.25,0.12,0.12
syseba96,3.66,0.33,0.32,0.24,0.11,0.11
sysea1ef,3.64,0.36,0.35,0.27,0.12,0.12
sys433f2,3.62,0.32,0.31,0.24,0.11,0.11
sys2c90c,3.61,0.33,0.32,0.25,0.11,0.11
syse03e2,3.57,0.33,0.32,0.24,0.11,0.11
sys41cc1,3.56,0.38,0.37,0.29,0.13,0.13
sys83090,3.55,0.34,0.33,0.25,0.11,0.11
sys0b3ef,3.55,0.38,0.37,0.28,0.14,0.14
sysf0cac,3.55,0.38,0.37,0.28,0.13,0.13
sys330d3,3.53,0.38,0.37,0.28,0.13,0.13
sysaa5ec,3.47,0.38,0.37,0.28,0.13,0.13
sys263f8,3.47,0.38,0.37,0.28,0.12,0.12
sys768cf,3.44,0.35,0.35,0.26,0.12,0.12
sys6171c,3.42,0.35,0.35,0.26,0.13,0.13
sys53b38,3.40,0.34,0.34,0.26,0.11,0.11
sys8a5ed,3.39,0.39,0.39,0.30,0.13,0.13
sys00991,3.35,0.38,0.37,0.29,0.14,0.14
sys1f57a,3.35,0.35,0.35,0.27,0.12,0.12
sys049d2,3.34,0.36,0.35,0.27,0.12,0.12
sysbb552,3.31,0.34,0.34,0.26,0.12,0.12
sys9dead,3.31,0.33,0.33,0.25,0.13,0.13
sysf1fca,3.30,0.33,0.33,0.25,0.14,0.14
sys7ab3c,3.29,0.35,0.35,0.27,0.12,0.12
syse0aaa,3.29,0.37,0.37,0.28,0.13,0.13
sys541b0,3.28,0.34,0.34,0.26,0.12,0.12
syse975a,3.25,0.35,0.35,0.27,0.11,0.11
sys0b2c1,3.25,0.34,0.34,0.26,0.12,0.12
sys3ad60,3.22,0.33,0.33,0.26,0.12,0.13
sys77fa4,3.22,0.34,0.34,0.26,0.11,0.11
sys0eb39,3.20,0.38,0.38,0.29,0.16,0.16
sysbe0ef,3.19,0.33,0.33,0.26,0.12,0.12
sys72611,3.19,0.36,0.36,0.27,0.13,0.13
sysb526f,3.14,0.35,0.35,0.27,0.12,0.12
sys2e1cb,3.13,0.36,0.36,0.27,0.13,0.13
sysa360c,3.12,0.34,0.34,0.26,0.12,0.12
sys294a1,3.09,0.36,0.36,0.27,0.12,0.12
sys20cc3,3.09,0.33,0.33,0.26,0.12,0.12
sysb084d,3.05,0.33,0.33,0.25,0.10,0.10
sysd6a96,3.04,0.51,0.51,0.40,0.15,0.15
sysb9f31,2.99,0.33,0.33,0.26,0.11,0.11
sysbcae1,2.98,0.35,0.35,0.27,0.13,0.13
sys3afc3,2.98,0.35,0.35,0.27,0.12,0.12
sys694ff,2.97,0.35,0.35,0.27,0.12,0.12
sys4d7b2,2.95,0.36,0.36,0.27,0.13,0.13
sysf7f3d,2.93,0.48,0.48,0.37,0.17,0.17
sysacdf0,2.92,0.33,0.33,0.25,0.12,0.12
sysd2ea4,2.91,0.36,0.35,0.27,0.16,0.16
sys61e08,2.90,0.35,0.35,0.27,0.11,0.11
syseccd8,2.89,0.33,0.33,0.26,0.12,0.12
sys00691,2.87,0.35,0.35,0.27,0.15,0.15
sysd3cb2,2.87,0.35,0.35,0.27,0.12,0.12
sys8bd6f,2.87,0.37,0.37,0.28,0.13,0.13
sysead26,2.83,0.34,0.34,0.26,0.12,0.12
sysbce79,2.79,0.45,0.44,0.35,0.17,0.17
sys0ca9f,2.78,0.34,0.33,0.26,0.12,0.12
sys29eee,2.77,0.36,0.36,0.28,0.13,0.13
sys9efbf,2.75,0.36,0.36,0.27,0.13,0.13
sys6b9da,2.74,0.35,0.34,0.27,0.13,0.13
sys3dea1,2.72,0.34,0.34,0.26,0.14,0.14
sys9f4e0,2.72,0.34,0.34,0.26,0.12,0.13
sys56eb0,2.71,0.34,0.34,0.26,0.13,0.13
sysff05c,2.71,0.36,0.35,0.27,0.13,0.14
sys4a150,2.70,0.34,0.33,0.26,0.11,0.11
sys02819,2.70,0.36,0.35,0.27,0.12,0.12
sys02a43,2.69,0.36,0.35,0.27,0.13,0.13
sys67c8d,2.68,0.50,0.48,0.38,0.17,0.17
sys7b162,2.68,0.34,0.34,0.26,0.12,0.13
sys50848,2.67,0.48,0.46,0.36,0.16,0.16
sys05205,2.67,0.34,0.33,0.26,0.11,0.11
sys8e2bf,2.65,0.48,0.46,0.36,0.16,0.17
sys9dbae,2.62,0.48,0.46,0.36,0.15,0.15
sys41dae,2.61,0.36,0.34,0.27,0.13,0.13
sys732a7,2.61,0.38,0.37,0.29,0.14,0.14
sys08595,2.61,0.33,0.32,0.25,0.12,0.12
sys1aa9c,2.60,0.33,0.32,0.25,0.10,0.10
sys9368a,2.60,0.34,0.33,0.26,0.12,0.12
sys0fb9c,2.58,0.36,0.35,0.27,0.14,0.14
sysf9a64,2.54,0.35,0.34,0.26,0.11,0.11
sysf7bda,2.50,0.36,0.35,0.27,0.13,0.13
sys20bf9,2.50,0.33,0.31,0.24,0.11,0.11
sys5e858,2.49,0.33,0.32,0.25,0.11,0.11
sys9decb,2.49,0.38,0.36,0.28,0.13,0.13
sysc02df,2.48,0.50,0.47,0.37,0.20,0.20
sys24ed5,2.48,0.34,0.33,0.25,0.11,0.11
sys6b49f,2.47,0.36,0.34,0.26,0.12,0.12
sysec647,2.46,0.35,0.33,0.26,0.11,0.11
sys94e9f,2.46,0.38,0.36,0.28,0.14,0.14
syse33d4,2.45,0.35,0.33,0.26,0.14,0.14
sys25816,2.44,0.34,0.32,0.25,0.11,0.11
syscc473,2.43,0.34,0.32,0.25,0.11,0.11
sysc182e,2.41,0.38,0.35,0.27,0.12,0.12
sys2a489,2.41,0.36,0.33,0.26,0.12,0.12
sys4bafa,2.41,0.35,0.33,0.25,0.12,0.12
sysf211e,2.40,0.39,0.37,0.28,0.13,0.13
sys372fe,2.39,0.50,0.46,0.36,0.19,0.19
sys0e098,2.37,0.37,0.34,0.27,0.13,0.13
sysb1913,2.34,0.36,0.33,0.26,0.14,0.14
sys9e6de,2.33,0.36,0.33,0.25,0.13,0.13
sysba29c,2.32,0.34,0.31,0.24,0.12,0.12
sysbc1c2,2.31,0.33,0.31,0.24,0.13,0.13
sysb2a4f,2.31,0.34,0.32,0.25,0.12,0.12
sys429a3,2.29,0.36,0.33,0.26,0.13,0.13
sys2fed0,2.29,0.37,0.34,0.26,0.11,0.11
sys35c79,2.24,0.50,0.44,0.35,0.15,0.15
sys8d3e2,2.20,0.55,0.48,0.39,0.18,0.18
sys520c6,2.15,0.50,0.43,0.34,0.16,0.17
sys174d8,2.14,0.34,0.30,0.23,0.11,0.11
sys50c71,2.13,0.37,0.32,0.25,0.12,0.12
sys19236,2.11,0.34,0.29,0.23,0.11,0.11
sys10495,2.09,0.36,0.31,0.24,0.11,0.11
sys1e139,2.01,0.33,0.28,0.22,0.11,0.11
sysc276f,2.00,0.34,0.29,0.23,0.11,0.11
sys4800c,2.00,0.34,0.28,0.22,0.10,0.10
sys36d71,2.00,0.45,0.37,0.30,0.14,0.15
sys7c5fb,1.97,0.34,0.28,0.22,0.12,0.12
sysc2927,1.93,0.33,0.27,0.21,0.10,0.10
sys46d3a,1.92,0.34,0.28,0.22,0.11,0.11
sys29328,1.90,0.50,0.39,0.31,0.16,0.16
sysa0656,1.90,0.48,0.38,0.30,0.15,0.15
sys8e5c5,1.90,0.34,0.27,0.21,0.11,0.11
sysea497,1.88,0.34,0.27,0.21,0.10,0.10
sysec937,1.88,0.33,0.26,0.21,0.10,0.10
sys64f06,1.86,0.33,0.26,0.21,0.11,0.11
syscfed8,1.85,0.35,0.27,0.22,0.11,0.11
sysa7a61,1.84,0.34,0.27,0.21,0.11,0.11
sysd2e72,1.81,0.36,0.27,0.22,0.10,0.10
sysd525d,1.81,0.36,0.27,0.22,0.09,0.09
sys6629f,1.78,0.37,0.28,0.22,0.12,0.12
syse1ff7,1.73,0.36,0.26,0.21,0.11,0.11
sys38b22,1.73,0.35,0.26,0.20,0.11,0.11
sysb634f,1.72,0.36,0.26,0.21,0.11,0.11
sys50bf1,1.58,0.47,0.30,0.25,0.13,0.14
sys9f572,1.51,0.36,0.23,0.18,0.09,0.09
sysc382e,1.45,0.48,0.27,0.22,0.12,0.13
sys9525c,1.44,0.51,0.28,0.24,0.13,0.13
sys2863f,1.36,0.33,0.17,0.14,0.08,0.08
sysf53fb,1.29,0.34,0.16,0.13,0.08,0.08
sys66a81,1.24,0.33,0.14,0.12,0.07,0.07
